AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
9;75-84;Salzburg;5;16683;M;1086;940;140
9;75-84;Salzburg;5;21887;W;1342;1261;70
9;75-84;Steiermark;6;40440;M;2303;1891;405
9;75-84;Steiermark;6;54237;W;2966;2653;307
9;75-84;Tirol;7;22116;M;1466;1292;170
9;75-84;Tirol;7;28566;W;1683;1591;86
9;75-84;Vorarlberg;8;11038;M;601;535;64
9;75-84;Vorarlberg;8;13982;W;695;654;35
9;75-84;Wien;9;48860;M;2476;1816;457
9;75-84;Wien;9;69284;W;3380;2765;335
9;75-84;Österreich;10;268460;M;14792;12354;2150
9;75-84;Österreich;10;356807;W;18398;16612;1414
10;>84;Burgenland;1;2822;M;168;121;46
10;>84;Burgenland;1;6057;W;458;377;79
10;>84;Kärnten;2;5625;M;565;385;173
10;>84;Kärnten;2;11774;W;1376;1130;230
10;>84;Niederösterreich;3;15354;M;1000;690;298
10;>84;Niederösterreich;3;30297;W;2290;1853;410
10;>84;Oberösterreich;4;12674;M;1103;781;315
10;>84;Oberösterreich;4;25195;W;2415;1997;397
10;>84;Salzburg;5;4612;M;445;332;112
10;>84;Salzburg;5;8792;W;937;780;153
10;>84;Steiermark;6;11804;M;1031;679;350
10;>84;Steiermark;6;24771;W;2934;2314;608
10;>84;Tirol;7;6514;M;625;472;150
10;>84;Tirol;7;11787;W;1165;1004;157
10;>84;Vorarlberg;8;3076;M;224;157;64
10;>84;Vorarlberg;8;6109;W;444;373;71
10;>84;Wien;9;11844;M;1016;615;328
10;>84;Wien;9;27218;W;2850;2071;614
10;>84;Österreich;10;74325;M;6177;4232;1836
10;>84;Österreich;10;152000;W;14869;11899;2719
